1,adminlogin,adminpass,ADMIN
2,stuart.ross@uni.student.com,kukpacH@,USER
3,darcy.anderson@uni.student.com,C#w6NLlB,USER
4,aldus.fowler@uni.student.com,U$MBJ!Xm,USER
5,frederick.west@uni.student.com,FG#0RAIC,USER
6,harold.cameron@uni.student.com,6k3Gk6YN,USER
7,ellia.elliott@uni.student.com,YF$Aigsm,USER
8,elise.stevens@uni.student.com,1iO!USDs,USER
9,adison.baker@uni.student.com,0maHtfRo,USER
10,arnold.mitchell@uni.student.com,xocLUI!@,USER
11,lana.barnes@uni.student.com,GRQF@1ZI,USER
12,reid.morris@uni.student.com,KurDzsVb,USER
13,nicholas.wilson@uni.student.com,y8BcZ73I,USER
14,alina.hamilton@uni.student.com,kTgwi3$o,USER
15,garry.sullivan@uni.student.com,HMnl3Y#O,USER
16,alissa.west@uni.student.com,W2sOdX#P,USER
17,edward.farrell@uni.student.com,$2ErXsNf,USER
18,tony.allen@uni.student.com,!AzIZj#r,USER
19,walter.harper@uni.student.com,Bnd0Tl5u,USER
20,elian.spencer@uni.student.com,hkScWebF,USER
21,cherry.ross@uni.student.com,Y$RzmFlt,USER
22,tony.evans@uni.student.com,bpS6j@qy,USER
